Passenger,Class,Sex,Age Group,Survived,Port,Fare Band
1,3rd Class,Male,Young Adult,Died,Southampton,Budget
2,1st Class,Female,Adult,Survived,Cherbourg,Premium
3,3rd Class,Female,Adult,Survived,Southampton,Budget
4,1st Class,Female,Adult,Survived,Southampton,Premium
5,3rd Class,Male,Adult,Died,Southampton,Budget
6,3rd Class,Male,Unknown,Died,Queenstown,Budget
7,1st Class,Male,Middle Aged,Died,Southampton,Premium
8,3rd Class,Male,Child,Died,Southampton,Standard
9,3rd Class,Female,Adult,Survived,Southampton,Standard
10,2nd Class,Female,Young Adult,Survived,Cherbourg,Premium
11,3rd Class,Female,Child,Survived,Southampton,Standard
12,1st Class,Female,Middle Aged,Survived,Southampton,Standard
13,3rd Class,Male,Young Adult,Died,Southampton,Budget
14,3rd Class,Male,Adult,Died,Southampton,Premium
15,3rd Class,Female,Young Adult,Died,Southampton,Budget
16,2nd Class,Female,Middle Aged,Survived,Southampton,Standard
17,3rd Class,Male,Child,Died,Queenstown,Standard
18,2nd Class,Male,Unknown,Survived,Southampton,Standard
19,3rd Class,Female,Adult,Died,Southampton,Standard
20,3rd Class,Female,Unknown,Survived,Cherbourg,Budget
21,2nd Class,Male,Adult,Died,Southampton,Standard
22,2nd Class,Male,Adult,Survived,Southampton,Standard
23,3rd Class,Female,Young Adult,Survived,Queenstown,Budget
24,1st Class,Male,Adult,Survived,Southampton,Premium
25,3rd Class,Female,Child,Died,Southampton,Standard
26,3rd Class,Female,Adult,Survived,Southampton,Premium
27,3rd Class,Male,Unknown,Died,Cherbourg,Budget
28,1st Class,Male,Young Adult,Died,Southampton,Luxury
29,3rd Class,Female,Unknown,Survived,Queenstown,Budget
30,3rd Class,Male,Unknown,Died,Southampton,Budget
31,1st Class,Male,Middle Aged,Died,Cherbourg,Standard
32,1st Class,Female,Unknown,Survived,Cherbourg,Luxury
33,3rd Class,Female,Unknown,Survived,Queenstown,Budget
34,2nd Class,Male,Senior,Died,Southampton,Standard
35,1st Class,Male,Adult,Died,Cherbourg,Luxury
36,1st Class,Male,Middle Aged,Died,Southampton,Premium
37,3rd Class,Male,Unknown,Survived,Cherbourg,Budget
38,3rd Class,Male,Young Adult,Died,Southampton,Budget
39,3rd Class,Female,Young Adult,Died,Southampton,Standard
40,3rd Class,Female,Young Adult,Survived,Cherbourg,Standard
41,3rd Class,Female,Middle Aged,Died,Southampton,Budget
42,2nd Class,Female,Adult,Died,Southampton,Standard
43,3rd Class,Male,Unknown,Died,Cherbourg,Budget
44,2nd Class,Female,Child,Survived,Cherbourg,Premium
45,3rd Class,Female,Young Adult,Survived,Queenstown,Budget
46,3rd Class,Male,Unknown,Died,Southampton,Budget
47,3rd Class,Male,Unknown,Died,Queenstown,Standard
48,3rd Class,Female,Unknown,Survived,Queenstown,Budget
49,3rd Class,Male,Unknown,Died,Cherbourg,Standard
50,3rd Class,Female,Young Adult,Died,Southampton,Standard
51,3rd Class,Male,Child,Died,Southampton,Premium
52,3rd Class,Male,Young Adult,Died,Southampton,Budget
53,1st Class,Female,Middle Aged,Survived,Cherbourg,Premium
54,2nd Class,Female,Adult,Survived,Southampton,Standard
55,1st Class,Male,Senior,Died,Cherbourg,Premium
56,1st Class,Male,Unknown,Survived,Southampton,Premium
57,2nd Class,Female,Young Adult,Survived,Southampton,Standard
58,3rd Class,Male,Adult,Died,Cherbourg,Budget
59,2nd Class,Female,Child,Survived,Southampton,Standard
60,3rd Class,Male,Child,Died,Southampton,Premium
61,3rd Class,Male,Young Adult,Died,Cherbourg,Budget
